"Item","Origin","SpritePrompt"
"harry_potter_wand","Harry Potter","Harry Potter wand sprite, single item texture, dark walnut wood shaft, subtle vine carvings, phoenix feather core resonance glow, sharp clean edges, item icon view, transparent background, rich brown #8B4513, warm gold tip #FFD700, wizarding magic aesthetic"
"ak47","Real World","AK-47 rifle sprite, single item texture, classic wood furniture with dark steel receiver, curved magazine, rugged combat wear, sharp clean edges, item icon view, transparent background, mahogany brown #8B4513, gunmetal gray #555555, iconic assault rifle aesthetic"
"excalibur","Arthurian Legend","Excalibur sword sprite, single item texture, gleaming gold blade with blue magic aura, ornate medieval crossguard, blue gem pommel, holy light effects, sharp clean edges, item icon view, transparent background, bright golden yellow #FFD700, royal blue #4169E1, white light highlights, legendary holy sword aesthetic"
"lightsaber","Star Wars","Lightsaber sprite, single item texture, glowing cyan plasma blade, sleek metallic hilt with black grip, power activation switch, emissive bloom, sharp clean edges, item icon view, transparent background, luminous cyan glow #00FFFF, metallic gray #A9A9A9, sci-fi Jedi weapon aesthetic"
"ray_gun","Retro Sci-Fi","Retro ray gun sprite, single item texture, bright red barrel with neon green fins, chrome rings, pulsing energy chamber, sharp clean edges, item icon view, transparent background, vivid red #FF0000, neon green #00FF00, 1950s sci-fi weapon aesthetic"
"pickaxe","Real World","Pickaxe sprite, single item texture, iron double-point head, sturdy oak handle, sharp clean edges, item icon view, transparent background"
"spear","Real World","Spear sprite, single item texture, steel leaf-shaped tip, wooden shaft bound with leather, sharp clean edges, item icon view, transparent background"
"warhammer","Fantasy","Warhammer sprite, single item texture, heavy iron head with spike, hardwood haft wrapped in leather, sharp clean edges, item icon view, transparent background"
"claw_hammer","Real World","Claw hammer sprite, single item texture, polished steel head, yellow #FFD700 rubber grip handle, sharp clean edges, item icon view, transparent background"
"adjustable_wrench","Real World","Adjustable wrench sprite, single item texture, chrome steel body, movable jaw, knurled thumbwheel, sharp clean edges, item icon view, transparent background"
"phillips_screwdriver","Real World","Phillips screwdriver sprite, single item texture, blue plastic handle, chromium shaft, cross tip, sharp clean edges, item icon view, transparent background"
"chainsaw","Real World","Chainsaw sprite, single item texture, orange housing, silver chain loop, black grip, sharp clean edges, item icon view, transparent background"
"hand_saw","Real World","Hand saw sprite, single item texture, wooden handle, steel blade with teeth set, sharp clean edges, item icon view, transparent background"
"fire_axe","Emergency Tool","Fire axe sprite, single item texture, red #FF0000 axe head, fiberglass yellow handle, sharp clean edges, item icon view, transparent background"
"shovel","Real World","Shovel sprite, single item texture, steel scoop, D-grip wooden shaft, sharp clean edges, item icon view, transparent background"
"crowbar","Real World","Crowbar sprite, single item texture, forged iron bar with curved claw, rust patina, sharp clean edges, item icon view, transparent background"
"sledgehammer","Real World","Sledgehammer sprite, single item texture, heavy steel head, long fiberglass handle, sharp clean edges, item icon view, transparent background"
"machete","Real World","Machete sprite, single item texture, broad carbon-steel blade, black polymer handle, sharp clean edges, item icon view, transparent background"
"garden_sickle","Real World","Garden sickle sprite, single item texture, crescent steel blade, wooden grip, sharp clean edges, item icon view, transparent background"
"farmer_hoe","Real World","Farmer hoe sprite, single item texture, flat iron blade, long ash handle, sharp clean edges, item icon view, transparent background"
"garden_trowel","Real World","Garden trowel sprite, single item texture, narrow steel scoop, green rubber handle, sharp clean edges, item icon view, transparent background"
"paintbrush","Real World","Paintbrush sprite, single item texture, 2-inch bristle head, lacquered wooden handle, metal ferrule, sharp clean edges, item icon view, transparent background"
"carpenter_plane","Real World","Carpenter plane sprite, single item texture, cast iron body, rosewood tote handle, brass adjuster, sharp clean edges, item icon view, transparent background"
"electric_drill","Real World","Electric drill sprite, single item texture, cordless teal body, keyless chuck, LED indicator, sharp clean edges, item icon view, transparent background"
"blowtorch","Real World","Blowtorch sprite, single item texture, blue propane cylinder, brass nozzle, ignition trigger, sharp clean edges, item icon view, transparent background"
"flashlight","Real World","Flashlight sprite, single item texture, black anodized aluminum tube, lens bezel, power button, sharp clean edges, item icon view, transparent background"
"police_baton","Law Enforcement","Police baton sprite, single item texture, matte black polycarbonate shaft, molded grip, sharp clean edges, item icon view, transparent background"
"baseball_bat","Sports","Baseball bat sprite, single item texture, polished maple wood, tapered barrel, sharp clean edges, item icon view, transparent background"
"fishing_rod","Real World","Fishing rod sprite, single item texture, graphite blank, cork handle, reel seat, sharp clean edges, item icon view, transparent background"
"butterfly_knife","Real World","Butterfly knife sprite, single item texture, split titanium handles, sleek blade, pivot pins, sharp clean edges, item icon view, transparent background"
"katana","Feudal Japan","Katana sprite, single item texture, curved steel blade, white rayskin wrap, golden tsuba, sharp clean edges, item icon view, transparent background"
"longsword","Medieval Europe","Longsword sprite, single item texture, cruciform guard, steel blade, leather grip, sharp clean edges, item icon view, transparent background"
"rapier","Renaissance","Rapier sprite, single item texture, swept-hilt guard, slender blade, wire-wrap grip, sharp clean edges, item icon view, transparent background"
"halberd","Medieval Europe","Halberd sprite, single item texture, axe-spear hybrid head, long ash pole, spike finial, sharp clean edges, item icon view, transparent background"
"morning_star","Medieval Europe","Morning star sprite, single item texture, spiked steel ball on wooden haft, iron banding, sharp clean edges, item icon view, transparent background"
"flail","Medieval Europe","Flail sprite, single item texture, spiked ball on chain, hardwood handle, metal fittings, sharp clean edges, item icon view, transparent background"
"crossbow","Medieval Europe","Crossbow sprite, single item texture, wooden stock, steel prod, winding stirrup, sharp clean edges, item icon view, transparent background"
"compound_bow","Modern Archery","Compound bow sprite, single item texture, cam system, carbon limbs, sight pins, sharp clean edges, item icon view, transparent background"
"revolver","Real World","Revolver sprite, single item texture, blued steel frame, wooden grip panels, six-shot cylinder, sharp clean edges, item icon view, transparent background"
"sniper_rifle","Modern Military","Sniper rifle sprite, single item texture, long barrel, bipod, scope optics, matte black finish, sharp clean edges, item icon view, transparent background"
"riot_shield","Law Enforcement","Riot shield sprite, single item texture, clear polycarbonate slab, reinforced handle straps, bold POLICE label, sharp clean edges, item icon view, transparent background"
"fire_extinguisher","Safety Tool","Fire extinguisher sprite, single item texture, red cylinder, black hose, pressure gauge, sharp clean edges, item icon view, transparent background"
"megaphone","Public Address","Megaphone sprite, single item texture, white cone, red handle, speaker grill, sharp clean edges, item icon view, transparent background"
"handheld_radio","Real World","Handheld radio sprite, single item texture, black rugged casing, antenna, keypad buttons, sharp clean edges, item icon view, transparent background"
"spyglass","Age of Sail","Spyglass sprite, single item texture, brass telescopic tube, leather sleeve, sharp clean edges, item icon view, transparent background"
"grappling_hook","Mountaineering","Grappling hook sprite, single item texture, triple prong steel claw, coiled rope, sharp clean edges, item icon view, transparent background"
"ice_axe","Mountaineering","Ice axe sprite, single item texture, curved pick head, orange aluminum shaft, leash loop, sharp clean edges, item icon view, transparent background"
"pruning_shears","Gardening","Pruning shears sprite, single item texture, bypass steel blades, red handled grips, spring pivot, sharp clean edges, item icon view, transparent background"
"bolt_cutters","Real World","Bolt cutters sprite, single item texture, hardened jaws, long red handles, joint rivet, sharp clean edges, item icon view, transparent background"
