"Item","Origin","SpritePrompt"
"harry_potter_wand","Harry Potter","Harry Potter wand sprite, pixel art minecraft texture, slender dark wood wand with glowing tip, swirling gold magic sparks, slight crackle of light, item icon view, transparent background, warm amber #FFBF00 and deep brown #4B2E2E, subtle floating runes, mystical school of witchcraft aesthetic"
"ak_47","Real Life","AK-47 rifle sprite, pixel art minecraft texture, rugged gunmetal grey barrel #4B4B4B with worn wooden stock #8B4513, curved magazine, slight muzzle flash ember, item icon view, transparent background, tactical military vibe"
"excalibur","Arthurian Legend","Saber's Excalibur sword sprite, pixel art minecraft texture, gleaming gold blade #FFD700 with blue magic aura #4169E1, ornate medieval crossguard, blue gem pommel, holy light effects, item icon view, transparent background, legendary holy sword aesthetic"
"lightsaber","Star Wars","Lightsaber sprite, pixel art minecraft texture, glowing plasma blade with core of vibrant green #00FF00 or red #FF0000, sleek metallic hilt with activation button, humming energy glow, item icon view, transparent background, elegant sci-fi energy sword"
"diamond_pickaxe","Minecraft Stylized","Diamond pickaxe sprite, pixel art minecraft texture, faceted cyan-blue head #00FFFF with silver reinforced edges, crystalline sheen, sturdy dark handle, item icon view, transparent background, high durability mining tool"
"master_sword","The Legend of Zelda","Master Sword sprite, pixel art minecraft texture, blue hilt with golden guard, shining silver blade with faint purple glow, Triforce emblem etched, item icon view, transparent background, hero's blade aesthetic, royal blue #0000CD and gold #FFD700"
"energy_sword","Halo","Halo energy sword sprite, pixel art minecraft texture, curved translucent purple blade #B23AEE emitting light particles, ergonomic black grip, alien tech glow, item icon view, transparent background"
"portal_gun","Portal","Portal gun sprite, pixel art minecraft texture, white futuristic casing with glowing blue and orange portal indicators, slim handle, aperture rings, item icon view, transparent background, test chamber gadget aesthetic"
"batarang","Batman","Batarang sprite, pixel art minecraft texture, sleek black metallic bat-wing throwing weapon with subtle yellow outline #FFD700, sharp edges, item icon view, transparent background, vigilante gadget style"
"infinity_gauntlet","Marvel","Infinity Gauntlet sprite, pixel art minecraft texture, golden armored glove #FFD700 studded with six glowing colored gems (purple, blue, red, orange, green, yellow), each emitting tiny sparkles, item icon view, transparent background, cosmic power aura"
